age,gender,result_type,results,reach,impressions,cost_per_result,amount_spent_(usd),clicks_(all),ctr,ctr_class,weekday
4,0,1,2.0,254,283.0,0.17981946,0.35963892,4,0.7067137809187279,2,4
4,1,1,1.0,95,95.0,0.06013129,0.06013129,3,1.0526315789473684,0,6
1,0,1,15.0,5966,6267.0,0.22382203,3.35733042,78,0.2393489707994255,2,6
4,0,1,3.0,283,311.0,0.0734938,0.2204814,6,0.964630225080386,0,6
2,0,1,10.0,2905,3115.0,0.20645077,2.06450766,42,0.3210272873194221,2,6
1,1,1,9.0,2300,2414.0,0.16480428,1.48323851,24,0.3728251864125932,2,6
3,0,1,4.0,582,676.0,0.12276805,0.49107221,11,0.591715976331361,2,6
4,1,1,1.0,115,116.0,0.13986641,0.13986641,1,0.8620689655172413,0,5
4,0,1,2.0,368,368.0,0.14985687,0.29971374,9,0.5434782608695652,2,5
2,1,1,7.0,1448,1453.0,0.16983779,1.1888645,22,0.4817618719889883,2,5
1,1,1,3.0,1884,2060.0,0.35965649,1.07896947,24,0.145631067961165,1,5
3,0,1,3.0,740,818.0,0.25975191,0.77925573,14,0.3667481662591687,2,5
1,0,1,12.0,5263,5586.0,0.33717796,4.0461355,66,0.2148227712137486,2,5
2,0,1,8.0,2944,3196.0,0.27973282,2.2378626,49,0.2503128911138924,2,5
3,1,1,1.0,289,338.0,0.27973282,0.27973282,4,0.2958579881656805,2,5
5,1,1,1.0,47,50.0,0.09990458,0.09990458,3,2.0,0,5
6,0,1,1.0,190,195.0,0.17982824,0.17982824,8,0.5128205128205128,2,5
5,0,1,1.0,83,114.0,0.08991412,0.08991412,3,0.8771929824561403,0,5
5,0,1,1.0,103,131.0,0.13987013,0.13987013,3,0.7633587786259541,2,1
4,0,1,3.0,341,388.0,0.07659555,0.22978664,5,0.7731958762886598,0,1
1,1,1,8.0,2214,2628.0,0.19232143,1.53857143,24,0.30441400304414,2,1
2,1,1,8.0,1647,1785.0,0.14361665,1.14893321,30,0.4481792717086834,2,1
4,1,1,1.0,146,146.0,0.07992579,0.07992579,3,0.684931506849315,2,1
1,2,1,1.0,16,17.0,0.00999072,0.00999072,2,5.88235294117647,0,1
1,0,1,21.0,5896,6082.0,0.20314471,4.26603896,75,0.3452811575139756,2,1
2,0,1,17.0,3138,3442.0,0.12752865,2.16798701,40,0.4938988959907031,2,1
6,1,1,1.0,56,85.0,0.07992579,0.07992579,2,1.1764705882352942,0,1
3,1,1,1.0,400,400.0,0.21979592,0.21979592,1,0.25,2,1
3,0,1,7.0,845,859.0,0.092771,0.64939703,14,0.8149010477299184,0,1
5,1,1,1.0,56,56.0,0.07992579,0.07992579,2,1.7857142857142856,0,1
1,1,1,3.0,2281,2565.0,0.40247151,1.20741453,17,0.1169590643274853,1,3
4,0,1,3.0,277,305.0,0.10643875,0.31931624,6,0.9836065573770492,0,3
2,1,1,11.0,1711,1821.0,0.11157925,1.22737179,25,0.6040637012630422,2,3
3,0,1,2.0,541,620.0,0.22950855,0.45901709,8,0.3225806451612903,2,3
2,0,1,7.0,2474,2631.0,0.28795482,2.01568376,41,0.2660585328772329,2,3
1,0,1,14.0,5079,5225.0,0.23877442,3.34284188,55,0.2679425837320574,2,3
3,1,1,2.0,344,371.0,0.14469017,0.28938034,3,0.5390835579514826,2,3
6,0,1,1.0,130,138.0,0.12972222,0.12972222,5,0.7246376811594203,2,3
4,1,1,1.0,107,107.0,0.07982906,0.07982906,1,0.9345794392523364,0,3
3,1,1,1.0,328,328.0,0.219556,0.219556,7,0.3048780487804878,2,2
4,1,1,1.0,109,109.0,0.09979818,0.09979818,2,0.9174311926605504,0,2
1,0,1,9.0,5321,5803.0,0.46018051,4.14162462,62,0.1550921936929174,1,2
5,0,1,2.0,51,86.0,0.02494955,0.04989909,2,2.3255813953488373,0,2
2,1,1,7.0,1452,1661.0,0.16680554,1.16763875,18,0.4214328717639976,2,2
4,0,1,3.0,253,265.0,0.08649176,0.25947528,8,1.1320754716981132,0,2
1,1,1,6.0,2619,2796.0,0.23618903,1.41713421,20,0.2145922746781116,2,2
3,0,1,3.0,601,607.0,0.15967709,0.47903128,11,0.4942339373970346,2,2
2,0,1,8.0,2627,2715.0,0.23452573,1.87620585,46,0.294659300184162,2,2
1,0,1,21.0,5064,5556.0,0.17530895,3.68148789,62,0.3779697624190065,2,0
1,1,1,4.0,2311,2474.0,0.36665225,1.466609,19,0.1616814874696847,1,0
2,1,1,6.0,1086,1164.0,0.11639754,0.69838524,22,0.5154639175257731,2,0
2,0,1,7.0,2173,2458.0,0.23944637,1.67612457,28,0.2847843775427177,2,0
3,0,1,4.0,423,542.0,0.12471165,0.4988466,9,0.7380073800738007,2,0
4,0,1,1.0,248,248.0,0.20951557,0.20951557,2,0.4032258064516129,2,0
6,0,1,1.0,141,141.0,0.11972318,0.11972318,1,0.7092198581560284,2,0
3,1,1,4.0,221,221.0,0.03242503,0.12970012,5,1.809954751131222,0,0
4,0,1,5.0,218,251.0,0.04380973,0.21904865,3,1.99203187250996,0,4
3,0,1,4.0,671,733.0,0.13192703,0.52770811,9,0.5457025920873124,2,4
5,0,1,2.0,44,74.0,0.03484865,0.0696973,4,2.702702702702702,0,4
2,0,1,19.0,2992,3322.0,0.10533201,2.00130811,50,0.5719446116797111,2,4
2,1,1,2.0,794,870.0,0.29372432,0.58744865,14,0.2298850574712643,2,4
6,0,1,2.0,183,183.0,0.06471892,0.12943784,10,1.092896174863388,0,4
1,0,1,36.0,6844,7313.0,0.12252342,4.41084324,74,0.4922740325447833,2,4
3,1,1,1.0,171,180.0,0.16926486,0.16926486,3,0.5555555555555556,2,4
1,1,1,3.0,1912,2034.0,0.33521081,1.00563243,17,0.1474926253687315,1,4
2,1,1,1.0,182,217.0,0.1494389,0.1494389,5,0.4608294930875576,2,6
