"Campaign name",Age,Gender,Day,"Delivery status","Delivery level","Ad set name","Attribution setting","Result Type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)","Clicks (all)","Reporting starts","Reporting ends"
"31 December Engagement campaign",45-54,female,2024-12-29,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",5,285,326,0.04795527,-,-,-,0.23977633,10,2024-12-29,2024-12-29
"31 December Engagement campaign",65+,female,2024-12-28,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",3,181,181,0.05650583,-,-,-,0.1695175,6,2024-12-28,2024-12-28
"31 December Engagement campaign",35-44,male,2024-12-28,completed,campaign,,"7-day click or 1-day view",,,181,273,,-,-,-,0.19943236,1,2024-12-28,2024-12-28
"31 December Engagement campaign",65+,male,2024-12-28,completed,campaign,,"7-day click or 1-day view",,,43,66,,-,-,-,0.00997162,1,2024-12-28,2024-12-28
"31 December Engagement campaign",65+,unknown,2024-12-28,completed,campaign,,"7-day click or 1-day view",,,1,1,,-,-,-,0,0,2024-12-28,2024-12-28
"31 December Engagement campaign",35-44,unknown,2024-12-28,completed,campaign,,"7-day click or 1-day view",,,3,3,,-,-,-,0.00997162,0,2024-12-28,2024-12-28
"31 December Engagement campaign",55-64,female,2024-12-28,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",1,110,111,0.05982971,-,-,-,0.05982971,1,2024-12-28,2024-12-28
"31 December Engagement campaign",45-54,male,2024-12-28,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",2,134,134,0.07977294,-,-,-,0.15954588,4,2024-12-28,2024-12-28
"31 December Engagement campaign",25-34,unknown,2024-12-28,completed,campaign,,"7-day click or 1-day view",,,9,9,,-,-,-,0.00997162,0,2024-12-28,2024-12-28
"31 December Engagement campaign",25-34,female,2024-12-28,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",3,2015,2252,0.57502996,-,-,-,1.72508988,36,2024-12-28,2024-12-28
"31 December Engagement campaign",45-54,female,2024-12-28,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",1,272,311,0.17948912,-,-,-,0.17948912,4,2024-12-28,2024-12-28
"31 December Engagement campaign",35-44,female,2024-12-28,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",4,547,707,0.14957427,-,-,-,0.59829707,19,2024-12-28,2024-12-28
"31 December Engagement campaign",55-64,male,2024-12-28,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",1,47,62,0.02991485,-,-,-,0.02991485,3,2024-12-28,2024-12-28
"31 December Engagement campaign",18-24,unknown,2024-12-28,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",1,16,27,0.00997162,-,-,-,0.00997162,0,2024-12-28,2024-12-28
"31 December Engagement campaign",18-24,male,2024-12-28,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",7,3223,3485,0.32906339,-,-,-,2.30344371,38,2024-12-28,2024-12-28
"31 December Engagement campaign",25-34,male,2024-12-28,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",2,1173,1272,0.5035667,-,-,-,1.0071334,16,2024-12-28,2024-12-28
"31 December Engagement campaign",18-24,female,2024-12-28,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",13,5675,5999,0.31295539,-,-,-,4.06842006,49,2024-12-28,2024-12-28
"31 December Engagement campaign",55-64,male,2024-12-27,completed,campaign,,"7-day click or 1-day view",,,31,31,,-,-,-,0.02996875,0,2024-12-27,2024-12-27
"31 December Engagement campaign",65+,male,2024-12-27,completed,campaign,,"7-day click or 1-day view",,,48,48,,-,-,-,0.04994792,0,2024-12-27,2024-12-27
"31 December Engagement campaign",35-44,unknown,2024-12-27,completed,campaign,,"7-day click or 1-day view",,,35,45,,-,-,-,0.01997917,0,2024-12-27,2024-12-27
"31 December Engagement campaign",45-54,unknown,2024-12-27,completed,campaign,,"7-day click or 1-day view",,,20,26,,-,-,-,0.00998958,0,2024-12-27,2024-12-27
